Accident_Index,Date,Speed_Limit,Road_Type,Urban_or_Rural_Area,Weather_Conditions,Light_Conditions,Road_Surface_Conditions,Casualties,Severity,District,Latitude,Longitude,Vehicle_Type
ACC2021000014,2022-01-08,30,Single carriageway,Urban,Fine no high winds,Day,Dry,2,Slight,Manchester,53.43487761401627,-2.265472975160075,Car
ACC2021000015,2021-04-10,60,Single carriageway,Urban,Fine no high winds,Dark,Wet or damp,1,Slight,Leeds,53.78719329380202,-1.5623509615295503,Car
ACC2021000016,2022-10-26,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Bradford,53.73181461904777,-1.7749669157740533,Car
ACC2021000017,2021-05-11,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Liverpool,53.42173167165861,-2.9829249799997166,Bus
ACC2021000018,2022-10-24,30,Roundabout,Urban,Fine no high winds,Dark,Wet or damp,1,Slight,Manchester,53.4054256057039,-2.2135241557220215,Car
ACC2021000019,2021-11-05,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,County Durham,54.793367355170325,-1.625670660555979,Car
ACC2021000020,2021-12-10,50,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Manchester,53.471994225196426,-2.2823769201130575,Agricultural
ACC2021000021,2022-05-07,30,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Cornwall,50.29634682400363,-5.011285936686909,Car
ACC2021000022,2022-02-18,30,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Serious,County Durham,54.79783126275574,-1.5231100928730297,Car
ACC2021000023,2022-01-21,60,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.50017823335352,-1.8879923023700265,Car
ACC2021000024,2021-07-11,30,Dual carriageway,Urban,Raining no high winds,Day,Dry,1,Slight,Bradford,53.81465683214611,-1.7856238057816658,Car
ACC2021000025,2021-10-04,30,Single carriageway,Urban,Fine no high winds,Dark,Dry,2,Slight,Birmingham,52.45339596571825,-1.896471190320994,Car
ACC2021000026,2021-06-10,20,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Leeds,53.78756440307725,-1.572479992358623,Car
ACC2021000027,2022-04-05,30,Single carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Slight,Sheffield,53.42901404226617,-1.4930528272856494,Car
ACC2021000028,2021-11-10,30,Slip road,Urban,Fine no high winds,Dark,Dry,1,Slight,Birmingham,52.44063024831694,-1.935436214257288,Car
ACC2021000029,2021-01-22,30,Roundabout,Urban,Fine no high winds,Day,Dry,2,Serious,Birmingham,52.49039209410004,-1.8413127355722205,Car
ACC2021000030,2021-09-10,30,Roundabout,Urban,Fog or mist,Day,Wet or damp,1,Slight,Birmingham,52.4243604428051,-1.8737105448713334,Car
ACC2021000031,2022-07-15,20,Single carriageway,Rural,Fine no high winds,Day,Dry,2,Slight,County Durham,54.81406953382434,-1.6007178606066585,Car
ACC2021000032,2022-04-20,50,Dual carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Cornwall,50.234314606342146,-4.9921839177134375,Car
ACC2021000033,2021-02-28,60,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Cheshire East,53.267562308227404,-2.332264769264753,Car
ACC2021000034,2022-05-26,70,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Leeds,53.81292466842788,-1.5491510640696364,Car
ACC2021000035,2022-11-13,60,Single carriageway,Urban,Fine no high winds,Dark,Wet or damp,1,Slight,Cornwall,50.291000386380496,-5.052982929476604,Car
ACC2021000036,2022-04-21,60,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Fatal,Cornwall,50.24251043553939,-5.070984703422283,Car
ACC2021000037,2022-12-01,60,Roundabout,Rural,Fine no high winds,Day,Dry,1,Slight,Liverpool,53.4472347340694,-2.984511437219907,Bus
ACC2021000038,2021-07-09,40,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Serious,Leeds,53.80274816730413,-1.5300696586748497,Bus
ACC2021000039,2022-11-18,30,Single carriageway,Rural,Fine no high winds,Dark,Wet or damp,1,Slight,Birmingham,52.50321895829411,-1.9274236192062109,Car
ACC2021000040,2022-07-17,40,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Bradford,53.78249266922321,-1.7967876646913687,Car
ACC2021000041,2022-07-21,20,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Liverpool,53.3815557418755,-2.946430965405676,Car
ACC2021000042,2021-09-01,60,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Bradford,53.882861905539926,-1.789408213553325,Car
ACC2021000043,2022-05-20,30,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Leeds,53.783189551587256,-1.5557744855631748,Car
ACC2021000044,2021-05-11,40,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Bradford,53.713280194273096,-1.6854332282226732,Van
ACC2021000045,2022-04-30,20,Single carriageway,Urban,Fine no high winds,Day,Dry,2,Serious,Kirklees,53.60730493114359,-1.793968453038747,Van
ACC2021000046,2022-10-09,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Bradford,53.80766312814871,-1.7586152425724781,Car
ACC2021000047,2021-01-21,30,Single carriageway,Urban,Raining no high winds,Day,Dry,1,Fatal,Leeds,53.80256051954667,-1.538594543475442,Car
ACC2021000048,2021-06-16,30,Single carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Slight,Birmingham,52.44525501974203,-1.891689850666319,Car
ACC2021000049,2021-10-01,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Kirklees,53.68402445447146,-1.8011591682843657,Car
ACC2021000050,2022-01-23,20,Single carriageway,Urban,Raining no high winds,Day,Dry,1,Slight,Liverpool,53.41132911888351,-2.978008237295771,Car
ACC2021000051,2022-08-24,30,Single carriageway,Rural,Raining no high winds,Dark,Dry,1,Slight,Leeds,53.81806059522606,-1.5445401515813864,Car
ACC2021000052,2021-11-12,30,Dual carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Leeds,53.80941227145053,-1.5778273041965765,Car
ACC2021000053,2021-01-14,60,Single carriageway,Rural,Fine no high winds,Dark,Dry,2,Slight,County Durham,54.73585460995859,-1.5616417479390736,Car
ACC2021000054,2021-08-30,30,Slip road,Rural,Fine no high winds,Day,Dry,1,Slight,Kirklees,53.6334804657289,-1.7761415333124309,Car
ACC2021000055,2021-12-12,30,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Cornwall,50.262501242420036,-5.0730118835578555,Car
ACC2021000056,2022-07-19,70,Single carriageway,Rural,Raining no high winds,Day,Wet or damp,1,Slight,Birmingham,52.469232422099324,-1.9436111613720342,Car
ACC2021000057,2021-12-06,30,Single carriageway,Urban,Raining + high winds,Day,Frost or ice,1,Slight,Birmingham,52.482559029205916,-1.92003486095802,Van
ACC2021000058,2021-04-02,30,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,County Durham,54.790788624904735,-1.5752015026410506,Car
ACC2021000059,2022-01-02,30,Dual carriageway,Urban,Fine no high winds,Dark,Dry,2,Slight,Bradford,53.807824817686246,-1.7531407651536457,Bus
ACC2021000060,2022-03-31,60,Single carriageway,Urban,Fine no high winds,Dark,Wet or damp,1,Slight,Bradford,53.81599633336703,-1.73986269649147,Car
ACC2021000061,2022-03-04,30,Dual carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Serious,Birmingham,52.47426015264153,-1.8725114501500664,Bike
ACC2021000062,2022-05-24,30,Single carriageway,Urban,Fine no high winds,Day,Frost or ice,1,Fatal,Birmingham,52.516708118394924,-1.8963588589411204,Car
ACC2021000063,2021-02-04,60,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.50717826266367,-1.8828217832168848,Car
ACC2021000064,2021-07-25,20,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Cheshire East,53.247021752363565,-2.299166630380609,Car
ACC2021000065,2021-03-22,60,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Serious,Leeds,53.83518717661678,-1.601608643480731,Car
ACC2021000066,2022-07-16,30,Single carriageway,Urban,Raining no high winds,Dark,Dry,1,Slight,County Durham,54.796915933155645,-1.554060989623316,Car
ACC2021000067,2022-01-23,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,2,Slight,Cheshire East,53.26903175514113,-2.30608751006205,Car
ACC2021000068,2021-01-02,60,Dual carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Bradford,53.819378833479774,-1.7638962252281587,Car
ACC2021000069,2022-01-25,30,Dual carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Leeds,53.773879565832324,-1.5482569425383326,Car
ACC2021000070,2022-07-20,60,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Birmingham,52.48342995916718,-1.8812677442853223,Bike
ACC2021000071,2021-04-16,70,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Leeds,53.869337797885734,-1.5406610108032615,Car
ACC2021000072,2022-04-22,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Leeds,53.801834111392715,-1.5481786474447592,Bike
ACC2021000073,2022-12-04,60,Dual carriageway,Urban,Raining + high winds,Day,Dry,1,Slight,Bradford,53.80916537956243,-1.7549053192524724,Bus
ACC2021000074,2022-02-06,20,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,County Durham,54.782040796197705,-1.577423308905632,Car
ACC2021000075,2022-12-31,60,Single carriageway,Rural,Fine no high winds,Dark,Dry,2,Slight,Sheffield,53.40220927793772,-1.4974545961106789,Car
ACC2021000076,2022-07-10,30,Single carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Slight,Liverpool,53.39601961107897,-2.9557545251608457,Car
ACC2021000077,2021-06-11,30,Single carriageway,Rural,Raining no high winds,Dark,Dry,1,Slight,Birmingham,52.4772543428068,-1.9155476038838226,Agricultural
ACC2021000078,2021-07-21,30,One way street,Rural,Fine no high winds,Day,Dry,2,Slight,Bradford,53.80140288918546,-1.774267451819065,Bike
ACC2021000079,2021-09-27,30,Roundabout,Rural,Fine no high winds,Day,Dry,2,Slight,Birmingham,52.45399232946897,-1.862988929904495,Car
ACC2021000080,2021-09-28,30,Single carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Serious,Kirklees,53.63092302680217,-1.779891702778128,Van
ACC2021000081,2022-04-01,60,Dual carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Leeds,53.798314294396896,-1.5617584408559693,Other
ACC2021000082,2022-04-07,60,Roundabout,Urban,Fine no high winds,Day,Wet or damp,2,Slight,Bradford,53.78440095489783,-1.759774857611053,Bus
ACC2021000083,2022-12-28,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Leeds,53.836126308178976,-1.5395543212735436,Car
ACC2021000084,2021-09-09,30,Dual carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.531449010032595,-1.9067906736558458,Car
ACC2021000085,2022-12-03,60,Single carriageway,Rural,Fine no high winds,Day,Dry,2,Slight,Sheffield,53.38412633782382,-1.505786972935891,Car
ACC2021000086,2021-10-23,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Serious,Manchester,53.500523956680155,-2.2112703717379447,Bike
ACC2021000087,2022-12-26,30,Single carriageway,Urban,Fog or mist,Day,Dry,1,Slight,Birmingham,52.507843489554176,-1.8630292928807455,Car
ACC2021000088,2022-12-21,30,Slip road,Urban,Raining + high winds,Day,Wet or damp,1,Slight,Liverpool,53.40790387350442,-2.978265603801593,Bike
ACC2021000089,2021-12-04,30,Single carriageway,Rural,Fine no high winds,Day,Dry,2,Slight,Leeds,53.827638516500784,-1.5147422020650272,Car
ACC2021000090,2021-02-22,30,Dual carriageway,Urban,Raining no high winds,Day,Dry,1,Slight,Birmingham,52.48606556626473,-1.9086707901128337,Bike
ACC2021000091,2021-08-05,50,Single carriageway,Rural,Fine no high winds,Dark,Wet or damp,1,Slight,Sheffield,53.42257851788786,-1.4672273409426693,Car
ACC2021000092,2021-07-07,40,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Serious,Birmingham,52.48502070415965,-1.9114661847357641,Car
ACC2021000093,2022-01-15,20,One way street,Urban,Fine no high winds,Dark,Dry,1,Slight,Sheffield,53.378530878351995,-1.4806417016452433,Car
ACC2021000094,2022-05-08,60,Dual carriageway,Rural,Raining no high winds,Day,Wet or damp,1,Serious,Cornwall,50.23555027505729,-5.07539172046458,Car
ACC2021000095,2021-02-10,30,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Serious,Birmingham,52.50427173057512,-1.89831756188759,Bike
ACC2021000096,2021-06-06,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.490665623646294,-1.8972867218079377,Bus
ACC2021000097,2021-01-15,30,Single carriageway,Rural,Raining no high winds,Day,Wet or damp,1,Slight,County Durham,54.74852372590866,-1.5376111699924604,Car
ACC2021000098,2021-03-06,30,Single carriageway,Urban,Fine no high winds,Dark,Frost or ice,2,Slight,Liverpool,53.41634274411689,-2.9707864965598905,Car
ACC2021000099,2022-06-05,30,Dual carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Serious,Sheffield,53.39365615597103,-1.4727565534223244,Car
ACC2021000100,2021-12-10,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Fatal,Sheffield,53.36638235664939,-1.5183989839655578,Car
ACC2021000101,2021-05-09,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,2,Serious,Liverpool,53.34881189141054,-2.9665775812138007,Bike
ACC2021000102,2022-10-10,30,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Leeds,53.83135107639635,-1.5109378643039812,Car
ACC2021000103,2022-04-17,40,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Birmingham,52.482933332405764,-1.910553831271854,Car
ACC2021000104,2021-03-04,60,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Leeds,53.819037416205404,-1.5124610221580894,Car
ACC2021000105,2021-05-19,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Serious,Kirklees,53.69741804713845,-1.7939403267082266,Car
ACC2021000106,2022-05-14,40,Roundabout,Urban,Fine no high winds,Day,Wet or damp,2,Slight,Cornwall,50.29149714806885,-5.0367103602638466,Car
ACC2021000107,2022-08-16,60,Dual carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Slight,Manchester,53.482319305190686,-2.2619362147060746,Car
ACC2021000108,2022-01-27,40,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Sheffield,53.41929818217905,-1.4351936155141014,Car
ACC2021000109,2022-11-06,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Fatal,Sheffield,53.37638668799108,-1.4475722169471852,Car
ACC2021000110,2022-02-23,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Birmingham,52.50468965472795,-1.8713233469615744,Car
ACC2021000111,2021-10-16,60,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Leeds,53.77314671685223,-1.576685693452642,Bike
ACC2021000112,2022-01-14,30,Single carriageway,Urban,Raining no high winds,Day,Dry,2,Slight,Sheffield,53.37623579094189,-1.4578327797688317,Car
ACC2021000113,2022-05-05,30,Single carriageway,Urban,Raining no high winds,Day,Dry,1,Serious,Sheffield,53.43415094273575,-1.5137842259009664,Car
ACC2021000114,2021-08-19,30,Slip road,Urban,Fine no high winds,Day,Dry,1,Slight,Liverpool,53.441961619474284,-3.0296480645816213,Car
ACC2021000115,2021-02-10,40,Single carriageway,Rural,Raining no high winds,Dark,Dry,1,Slight,Birmingham,52.49334743794428,-1.9454661576966974,Car
ACC2021000116,2021-01-28,60,Single carriageway,Urban,Fine no high winds,Dark,Snow,1,Slight,County Durham,54.81728431767075,-1.5651351628444465,Bike
ACC2021000117,2021-05-15,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.49872779672517,-1.8655595325842562,Car
ACC2021000118,2021-07-20,30,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Leeds,53.792656474456024,-1.6009213507856466,Car
ACC2021000119,2021-02-02,70,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Bradford,53.74288622200893,-1.7428888558532958,Car
ACC2021000120,2021-02-17,20,Roundabout,Urban,Fine no high winds,Day,Dry,1,Slight,Kirklees,53.63781600235491,-1.7488193576420448,Car
ACC2021000121,2022-05-18,20,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Kirklees,53.647267583373306,-1.7649084886867332,Car
ACC2021000122,2022-02-11,30,Single carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Serious,Cornwall,50.29100426451204,-5.023761669687655,Car
ACC2021000123,2022-07-28,60,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,County Durham,54.76921450823492,-1.5702745151705442,Car
ACC2021000124,2022-12-29,60,Roundabout,Urban,Fine no high winds,Dark,Wet or damp,1,Serious,Bradford,53.8210161790345,-1.7516588160419913,Car
ACC2021000125,2021-04-09,60,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Sheffield,53.328238629918886,-1.5348513747957409,Car
ACC2021000126,2022-11-15,30,Single carriageway,Rural,Fine no high winds,Day,Dry,2,Slight,Sheffield,53.36304298935628,-1.4417840299834652,Car
ACC2021000127,2022-12-27,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Cornwall,50.263993379194346,-5.003214736886335,Car
ACC2021000128,2022-07-01,30,Single carriageway,Rural,Raining no high winds,Day,Dry,1,Slight,Liverpool,53.432474927820444,-3.0310884141893557,Car
ACC2021000129,2022-09-05,60,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Bradford,53.82660636924438,-1.7957840352815198,Car
ACC2021000130,2022-04-07,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.53628591309267,-1.8747770955563796,Car
ACC2021000131,2022-10-05,20,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Kirklees,53.68890080616486,-1.768469474084456,Car
ACC2021000132,2021-01-05,50,Slip road,Urban,Raining + high winds,Day,Dry,1,Slight,Leeds,53.80051148065102,-1.5446582985975057,Car
ACC2021000133,2021-08-06,30,Single carriageway,Urban,Fine no high winds,Dark,Wet or damp,1,Fatal,Manchester,53.45485848516973,-2.236197795305374,Bike
ACC2021000134,2022-05-18,30,Single carriageway,Rural,Fine no high winds,Day,Dry,2,Serious,Leeds,53.80439543190135,-1.5322900297615587,Car
ACC2021000135,2022-02-02,60,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Liverpool,53.40185861306302,-3.017585294930734,Van
ACC2021000136,2022-01-28,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Sheffield,53.38093104924371,-1.495371886005339,Car
ACC2021000137,2021-07-26,30,Single carriageway,Rural,Raining + high winds,Day,Wet or damp,1,Slight,Leeds,53.77372119796397,-1.5868981715528927,Car
ACC2021000138,2021-01-15,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Manchester,53.476825903323416,-2.238832831652653,Car
ACC2021000139,2022-07-08,30,Single carriageway,Urban,Raining + high winds,Dark,Dry,1,Slight,Bradford,53.77953428319426,-1.748288438202815,Car
ACC2021000140,2022-04-06,30,Dual carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Liverpool,53.40566132912306,-3.001947272836102,Van
ACC2021000141,2022-11-22,40,Dual carriageway,Urban,Fine no high winds,Dark,Dry,2,Serious,County Durham,54.8085605664435,-1.591818349071794,Car
ACC2021000142,2022-07-29,30,Single carriageway,Urban,Raining no high winds,Day,Dry,1,Slight,Birmingham,52.47643523152991,-1.8812906964492087,Bus
ACC2021000143,2021-08-29,60,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Leeds,53.82299508215674,-1.5806217841962948,Car
ACC2021000144,2022-07-18,30,Single carriageway,Rural,Fine no high winds,Day,Dry,2,Slight,Cornwall,50.266822805081425,-5.052951077692013,Car
ACC2021000145,2021-04-06,30,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Manchester,53.501569266797325,-2.261296278187754,Bike
ACC2021000146,2022-04-30,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Birmingham,52.48691035440389,-1.8416183577037382,Car
ACC2021000147,2022-02-11,60,Dual carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Serious,Birmingham,52.47371875332469,-1.856871670115405,Car
ACC2021000148,2021-08-19,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Bradford,53.78539308077342,-1.763123193045385,Car
ACC2021000149,2022-10-17,60,Roundabout,Rural,Fine no high winds,Day,Dry,1,Slight,Sheffield,53.36958613772633,-1.500493747513344,Bike
ACC2021000150,2021-06-20,60,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.45611011744064,-1.8707805977821206,Car
ACC2021000151,2022-06-25,60,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Fatal,Manchester,53.465555715390536,-2.2641731379029286,Bike
ACC2021000152,2021-02-05,60,Single carriageway,Urban,Raining no high winds,Day,Dry,1,Slight,Birmingham,52.466162907468316,-1.938605911903057,Car
ACC2021000153,2022-06-09,20,Dual carriageway,Urban,Fine no high winds,Day,Dry,3,Serious,Birmingham,52.4673360171879,-1.896556885245477,Car
ACC2021000154,2021-06-09,60,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Bradford,53.76719879390344,-1.7502100956597897,Car
ACC2021000155,2022-11-30,60,Dual carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Leeds,53.79639083648206,-1.5707960988044922,Car
ACC2021000156,2021-08-31,70,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.49129005178908,-1.890637311048749,Car
ACC2021000157,2021-03-27,30,Single carriageway,Rural,Fine no high winds,Day,Dry,2,Serious,Manchester,53.50247761689292,-2.282262375618092,Car
ACC2021000158,2022-08-01,40,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.53242941818509,-1.897785781601751,Bike
ACC2021000159,2022-11-13,30,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Birmingham,52.510432425639216,-1.9240940557978485,Car
ACC2021000160,2022-07-11,30,Single carriageway,Rural,Raining no high winds,Day,Wet or damp,1,Slight,Cheshire East,53.22892487018111,-2.328341706952273,Car
ACC2021000161,2022-07-28,50,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Leeds,53.81332891406716,-1.505404170500461,Car
ACC2021000162,2022-10-08,70,Single carriageway,Rural,Fine no high winds,Day,Dry,2,Serious,Liverpool,53.41016103182654,-3.0072794933849387,Car
ACC2021000163,2021-01-28,30,Single carriageway,Rural,Fog or mist,Dark,Dry,1,Slight,Birmingham,52.48773527439743,-1.9566817534384808,Car
ACC2021000164,2022-09-12,60,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Birmingham,52.47355441446613,-1.9523705945762004,Bike
ACC2021000165,2022-07-10,20,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.51498880716921,-1.8658068677782815,Bike
ACC2021000166,2021-12-06,20,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,County Durham,54.79435596667474,-1.597948758762713,Car
ACC2021000167,2021-11-27,30,Single carriageway,Rural,Raining no high winds,Day,Wet or damp,1,Slight,Sheffield,53.34104556367935,-1.4417314226119682,Car
ACC2021000168,2022-10-02,30,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Leeds,53.87630219016401,-1.5300630780611242,Car
ACC2021000169,2022-05-21,60,Dual carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Serious,Bradford,53.841544282481884,-1.753633160373524,Bike
ACC2021000170,2021-12-14,30,Roundabout,Rural,Fine no high winds,Dark,Dry,1,Slight,Sheffield,53.37235068186121,-1.4189342482604945,Bike
ACC2021000171,2022-04-18,30,Single carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Slight,Bradford,53.794254029065776,-1.729839380198805,Car
ACC2021000172,2021-08-19,30,Dual carriageway,Urban,Raining no high winds,Day,Dry,1,Slight,Manchester,53.476538003798716,-2.251586972604848,Car
ACC2021000173,2021-07-09,30,Single carriageway,Urban,Raining no high winds,Day,Wet or damp,1,Slight,County Durham,54.770053856149644,-1.5607037435604958,Car
ACC2021000174,2021-08-13,60,Dual carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Liverpool,53.39592300493603,-2.929274553540121,Car
ACC2021000175,2022-01-20,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,2,Serious,Leeds,53.8098482819641,-1.5543950549430101,Bus
ACC2021000176,2022-01-12,30,Single carriageway,Urban,Fine no high winds,Dark,Dry,3,Serious,Sheffield,53.36081528314047,-1.452697217045281,Car
ACC2021000177,2021-10-10,60,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Fatal,Birmingham,52.418654061940195,-1.8961221153468513,Bike
ACC2021000178,2022-09-25,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,2,Serious,Leeds,53.82423910841981,-1.5832318285527582,Car
ACC2021000179,2022-09-20,60,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Cornwall,50.274874175255725,-5.036243951203886,Car
